ONTOLOGY	TERM	N	DE	P.DE	FDR
BP	methionine catabolic process	1	1	0.0162427340561485	0.517672155853932
BP	lipoate metabolic process	1	1	0.0162427340561485	0.517672155853932
BP	lipoate biosynthetic process	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of signal transduction	1271	31	0.0162680108584883	0.517672155853932
BP	negative regulation of cell fate commitment	11	2	0.0131365432415751	0.517672155853932
BP	regulation of ferrochelatase activity	1	1	0.0162427340561485	0.517672155853932
BP	regulation of hormone levels	494	15	0.0158234804087864	0.517672155853932
BP	regulation of proton-transporting ATPase activity, rotational mechanism	1	1	0.0162427340561485	0.517672155853932
BP	regulation of cell death	1608	38	0.0132333930095994	0.517672155853932
BP	positive regulation of peptidase activity	192	8	0.0135141667780145	0.517672155853932
BP	regulation of neuron projection development	431	14	0.011411390880598	0.517672155853932
BP	Schwann cell proliferation	10	2	0.010863876433034	0.517672155853932
BP	Schwann cell development	31	3	0.0136501641778475	0.517672155853932
BP	arsenite transport	1	1	0.0162427340561485	0.517672155853932
BP	bicarbonate transport	29	3	0.0113635407095158	0.517672155853932
BP	bile acid and bile salt transport	31	3	0.0136501641778475	0.517672155853932
BP	polysaccharide transport	1	1	0.0162427340561485	0.517672155853932
BP	tetracycline transmembrane transport	1	1	0.0162427340561485	0.517672155853932
BP	phenol-containing compound metabolic process	113	6	0.0104272591016702	0.517672155853932
BP	myelination in peripheral nervous system	28	3	0.0103101316831611	0.517672155853932
BP	neuron differentiation	1355	33	0.0136691420930523	0.517672155853932
BP	fructoselysine metabolic process	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of cell projection organization	187	8	0.0116748208466065	0.517672155853932
BP	peripheral nervous system axon ensheathment	28	3	0.0103101316831611	0.517672155853932
BP	somite rostral/caudal axis specification	11	2	0.0131365432415751	0.517672155853932
BP	regulation of mononuclear cell proliferation	232	9	0.0139838241353824	0.517672155853932
BP	macromolecule localization	2851	62	0.0102727219709768	0.517672155853932
BP	L-lysine catabolic process to acetyl-CoA via L-pipecolate	1	1	0.0162427340561485	0.517672155853932
BP	maintenance of sister chromatid cohesion	12	2	0.0155960587680964	0.517672155853932
BP	maintenance of mitotic sister chromatid cohesion	12	2	0.0155960587680964	0.517672155853932
BP	negative regulation of MyD88-independent toll-like receptor signaling pathway	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of toll-like receptor 4 signaling pathway	11	2	0.0131365432415751	0.517672155853932
BP	negative regulation of toll-like receptor 7 signaling pathway	1	1	0.0162427340561485	0.517672155853932
BP	regulation of toll-like receptor 9 signaling pathway	10	2	0.010863876433034	0.517672155853932
BP	DNA replication-dependent chromatin organization	30	3	0.0124767204676702	0.517672155853932
BP	borate transmembrane transport	1	1	0.0162427340561485	0.517672155853932
BP	regulation of pronephros size	1	1	0.0162427340561485	0.517672155853932
BP	ERBB4 signaling pathway	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of multicellular organism growth	11	2	0.0131365432415751	0.517672155853932
BP	fluid transport	31	3	0.0136501641778475	0.517672155853932
BP	negative regulation of endodermal cell fate specification	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of catalytic activity	1148	29	0.0129055681466694	0.517672155853932
BP	regulation of protein-containing complex assembly	399	13	0.0141385256412064	0.517672155853932
BP	negative regulation of DNA-binding transcription factor activity	188	8	0.0120269927444261	0.517672155853932
BP	regulation of biological process involved in symbiotic interaction	56	4	0.0129639359229222	0.517672155853932
BP	positive regulation of molecular function	1532	37	0.0105188891118362	0.517672155853932
BP	regulation of B cell differentiation	31	3	0.0136501641778475	0.517672155853932
BP	negative regulation of myeloid cell differentiation	89	5	0.0150486176965525	0.517672155853932
BP	positive regulation of cytolysis	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of translational initiation by iron	1	1	0.0162427340561485	0.517672155853932
BP	response to mercury ion	11	2	0.0131365432415751	0.517672155853932
BP	borate transport	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of eye pigmentation	1	1	0.0162427340561485	0.517672155853932
BP	mesodermal cell differentiation	33	3	0.0161794434801121	0.517672155853932
BP	embryonic digestive tract development	33	3	0.0161794434801121	0.517672155853932
BP	multicellular organismal reproductive process	856	23	0.0132632064263279	0.517672155853932
BP	anatomical structure formation involved in morphogenesis	1204	30	0.013752078892821	0.517672155853932
BP	chemical homeostasis	1178	30	0.0104043232033585	0.517672155853932
BP	regulation of homocysteine metabolic process	1	1	0.0162427340561485	0.517672155853932
BP	regulation of axonogenesis	154	7	0.013139539236622	0.517672155853932
BP	ion homeostasis	761	21	0.0133841169349026	0.517672155853932
BP	positive regulation of cell activation	357	12	0.0144322407176368	0.517672155853932
BP	determination of affect	1	1	0.0162427340561485	0.517672155853932
BP	regulation of chemotaxis	224	9	0.0113320182772856	0.517672155853932
BP	regulation of nitrogen compound metabolic process	5584	110	0.0128931993802564	0.517672155853932
BP	protein insertion into membrane	59	4	0.0154698545950028	0.517672155853932
BP	negative regulation of RNA metabolic process	1366	33	0.0152166995165602	0.517672155853932
BP	regulation of cellular component movement	1116	28	0.015644510658882	0.517672155853932
BP	regulation of ligase activity	12	2	0.0155960587680964	0.517672155853932
BP	regulation of cyclic-nucleotide phosphodiesterase activity	10	2	0.010863876433034	0.517672155853932
BP	response to cAMP	88	5	0.0143891305348459	0.517672155853932
BP	membrane disruption in another organism	11	2	0.0131365432415751	0.517672155853932
BP	killing by host of symbiont cells	30	3	0.0124767204676702	0.517672155853932
BP	cilium-dependent cell motility	150	7	0.0114957689815208	0.517672155853932
BP	regulation of cilium movement involved in cell motility	29	3	0.0113635407095158	0.517672155853932
BP	regulation of strand invasion	1	1	0.0162427340561485	0.517672155853932
BP	cell fate commitment involved in formation of primary germ layer	32	3	0.0148842898903114	0.517672155853932
BP	cardioblast migration to the midline involved in heart field formation	1	1	0.0162427340561485	0.517672155853932
BP	hepatoblast differentiation	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of cartilage development	29	3	0.0113635407095158	0.517672155853932
BP	negative regulation of branching involved in lung morphogenesis	1	1	0.0162427340561485	0.517672155853932
BP	regulation of hair follicle placode formation	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of hair follicle placode formation	1	1	0.0162427340561485	0.517672155853932
BP	mesonephros morphogenesis	1	1	0.0162427340561485	0.517672155853932
BP	mesonephric nephron development	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of mesonephros development	1	1	0.0162427340561485	0.517672155853932
BP	mesonephric nephron morphogenesis	1	1	0.0162427340561485	0.517672155853932
BP	mesenchymal stem cell maintenance involved in mesonephric nephron morphogenesis	1	1	0.0162427340561485	0.517672155853932
BP	regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	1	1	0.0162427340561485	0.517672155853932
BP	regulation of anterograde axonal transport of mitochondrion	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of anterograde axonal transport of mitochondrion	1	1	0.0162427340561485	0.517672155853932
BP	sensory perception of cold stimulus	1	1	0.0162427340561485	0.517672155853932
BP	protein-DNA complex assembly	186	8	0.0113303070376737	0.517672155853932
BP	positive regulation of hepatocyte differentiation	1	1	0.0162427340561485	0.517672155853932
BP	trehalose metabolism in response to stress	1	1	0.0162427340561485	0.517672155853932
BP	cellular response to organic substance	2398	53	0.0130628160546687	0.517672155853932
BP	cellular response to interleukin-11	1	1	0.0162427340561485	0.517672155853932
BP	cellular response to lipid	580	17	0.0145960002198532	0.517672155853932
BP	cellular response to lipid hydroperoxide	1	1	0.0162427340561485	0.517672155853932
BP	tumor necrosis factor superfamily cytokine production	186	8	0.0113303070376737	0.517672155853932
BP	maintenance of mitotic sister chromatid cohesion, centromeric	1	1	0.0162427340561485	0.517672155853932
BP	cell communication involved in cardiac conduction	58	4	0.0146033085555975	0.517672155853932
BP	extrinsic apoptotic signaling pathway	221	9	0.0104416896557121	0.517672155853932
BP	liver regeneration	29	3	0.0113635407095158	0.517672155853932
BP	positive regulation of strand invasion	1	1	0.0162427340561485	0.517672155853932
BP	protein insertion into plasma membrane	1	1	0.0162427340561485	0.517672155853932
BP	regulation of action potential	57	4	0.0137681237164709	0.517672155853932
BP	regulation of membrane repolarization during action potential	10	2	0.010863876433034	0.517672155853932
BP	atrial cardiac muscle cell membrane repolarization	11	2	0.0131365432415751	0.517672155853932
BP	ventricular cardiac muscle cell membrane repolarization	28	3	0.0103101316831611	0.517672155853932
BP	negative regulation of ERBB4 signaling pathway	1	1	0.0162427340561485	0.517672155853932
BP	detection of cold stimulus involved in thermoception	1	1	0.0162427340561485	0.517672155853932
BP	tight junction organization	81	5	0.0103095098577265	0.517672155853932
BP	response to Gram-negative bacterium	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of interleukin-33 production	1	1	0.0162427340561485	0.517672155853932
BP	regulation of serine-type endopeptidase activity	10	2	0.010863876433034	0.517672155853932
BP	regulation of dosage compensation by inactivation of X chromosome	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of plasma cell differentiation	1	1	0.0162427340561485	0.517672155853932
BP	dextrin catabolic process	1	1	0.0162427340561485	0.517672155853932
BP	mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	1	1	0.0162427340561485	0.517672155853932
BP	naphthalene catabolic process	1	1	0.0162427340561485	0.517672155853932
BP	response to paracetamol	1	1	0.0162427340561485	0.517672155853932
BP	benzoyl-CoA metabolic process	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of cellular respiration	11	2	0.0131365432415751	0.517672155853932
BP	regulation of ATPase-coupled calcium transmembrane transporter activity	12	2	0.0155960587680964	0.517672155853932
BP	regulation of cilium-dependent cell motility	29	3	0.0113635407095158	0.517672155853932
BP	positive regulation of cyclic nucleotide-gated ion channel activity	1	1	0.0162427340561485	0.517672155853932
BP	regulation of organelle transport along microtubule	10	2	0.010863876433034	0.517672155853932
BP	regulation of serine-type peptidase activity	10	2	0.010863876433034	0.517672155853932
BP	positive regulation of neutrophil migration	31	3	0.0136501641778475	0.517672155853932
BP	negative regulation of RNA biosynthetic process	1257	31	0.0141334096431643	0.517672155853932
BP	negative regulation of bone development	1	1	0.0162427340561485	0.517672155853932
BP	regulation of tumor necrosis factor superfamily cytokine production	186	8	0.0113303070376737	0.517672155853932
BP	negative regulation of ATP metabolic process	30	3	0.0124767204676702	0.517672155853932
BP	negative regulation of calcium-dependent ATPase activity	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of calcium-dependent ATPase activity	1	1	0.0162427340561485	0.517672155853932
BP	regulation of dUTP diphosphatase activity	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of dUTP diphosphatase activity	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of aminoacyl-tRNA ligase activity	1	1	0.0162427340561485	0.517672155853932
BP	regulation of leucine-tRNA ligase activity	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of leucine-tRNA ligase activity	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of receptor clustering	1	1	0.0162427340561485	0.517672155853932
BP	regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization	1	1	0.0162427340561485	0.517672155853932
BP	response to forskolin	12	2	0.0155960587680964	0.517672155853932
BP	cellular response to forskolin	12	2	0.0155960587680964	0.517672155853932
BP	negative regulation of skeletal muscle acetylcholine-gated channel clustering	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of type B pancreatic cell proliferation	1	1	0.0162427340561485	0.517672155853932
BP	manchette disassembly	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of postsynaptic density organization	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of tumor necrosis factor (ligand) superfamily member 11 production	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of hepatocyte proliferation	10	2	0.010863876433034	0.517672155853932
BP	regulation of maintenance of mitotic sister chromatid cohesion, centromeric	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of maintenance of mitotic sister chromatid cohesion, centromeric	1	1	0.0162427340561485	0.517672155853932
BP	regulation of osteoclast development	11	2	0.0131365432415751	0.517672155853932
BP	regulation of chloride transport	11	2	0.0131365432415751	0.517672155853932
BP	carboxylic acid transport	279	10	0.0163819067339056	0.520570451310294
BP	regulation of protein dephosphorylation	91	5	0.0164275883153274	0.521296043118929
BP	regulation of cell development	498	15	0.016889875483114	0.534479055510027
BP	multicellular organism reproduction	876	23	0.0169461138801482	0.535515975470169
BP	organic substance transport	2380	52	0.01699454327682	0.536303595302801
BP	positive regulation of cellular component movement	591	17	0.0172092639860613	0.542329512577314
BP	positive regulation of dephosphorylation	61	4	0.0172983989557323	0.543636736327808
BP	negative regulation of transcription by RNA polymerase II	927	24	0.0173557754909929	0.544689647321176
BP	small molecule metabolic process	1744	40	0.0174515478785606	0.546192752259587
BP	regulation of cellular metabolic process	5936	115	0.0176383874291688	0.549777933857809
BP	carbohydrate metabolic process	593	17	0.0177210491504071	0.550099942062161
BP	regulation of B cell activation	127	6	0.0177022394912358	0.550099942062161
BP	granulocyte chemotaxis	127	6	0.0177022394912358	0.550099942062161
BP	positive regulation of phosphorus metabolic process	880	23	0.0177713976159691	0.550165818189892
BP	positive regulation of phosphate metabolic process	880	23	0.0177713976159691	0.550165818189892
BP	positive regulation of leukocyte cell-cell adhesion	242	9	0.0179125974508243	0.553785668615185
BP	regulation of T cell tolerance induction	13	2	0.01823578537058	0.55749516199645
BP	lipopolysaccharide-mediated signaling pathway	62	4	0.0182610376282379	0.55749516199645
BP	positive regulation of interleukin-8 production	62	4	0.0182610376282379	0.55749516199645
BP	cation homeostasis	737	20	0.0182769276460968	0.55749516199645
BP	T-helper 17 cell lineage commitment	13	2	0.01823578537058	0.55749516199645
BP	vesicle-mediated transport	1490	35	0.0185184124737605	0.563425721022597
BP	regulation of cell growth	414	13	0.0185799458154083	0.564178494023761
BP	positive regulation of T cell differentiation	94	5	0.0186494767089926	0.564332175851957
BP	regulation of potassium ion transmembrane transport	94	5	0.0186494767089926	0.564332175851957
BP	negative regulation of macroautophagy	35	3	0.0189538742703493	0.570695124091935
BP	digestive tract development	129	6	0.0189678945130873	0.570695124091935
BP	amide transport	286	10	0.0191083979872042	0.573654221679013
BP	negative regulation of nucleobase-containing compound metabolic process	1494	35	0.0191915459257346	0.575393313852249
BP	negative regulation of growth	245	9	0.0192340782151096	0.575911717265014
BP	cell-cell junction organization	205	8	0.0192765851002549	0.576428002159128
BP	regulation of signaling receptor activity	167	7	0.019643636686563	0.585716081262213
BP	response to tumor necrosis factor	246	9	0.0196898770305101	0.585716081262213
BP	regulation of dephosphorylation	130	6	0.0196233070031425	0.585716081262213
BP	anion transmembrane transport	246	9	0.0196898770305101	0.585716081262213
BP	dephosphorylation	418	13	0.0199251171824874	0.591942022963062
BP	cell morphogenesis involved in neuron differentiation	555	16	0.0200698680762573	0.595466983131193
BP	sodium ion transport	247	9	0.0201534427302493	0.596395524427195
BP	production of molecular mediator involved in inflammatory response	96	5	0.0202355582530459	0.596406625540847
BP	animal organ regeneration	64	4	0.0202845170678338	0.596406625540847
BP	positive regulation of interleukin-6 production	96	5	0.0202355582530459	0.596406625540847
BP	necrotic cell death	64	4	0.0202845170678338	0.596406625540847
BP	hormone transport	289	10	0.020373525608909	0.598252715949636
BP	cellular protein localization	1658	38	0.0204565730580431	0.599919242792174
BP	regulation of microtubule-based process	248	9	0.0206248431918972	0.604077563884885
BP	negative regulation of microtubule polymerization	14	2	0.0210492507846745	0.614475723831702
BP	regulation of chemokine production	97	5	0.021060659889393	0.614475723831702
BP	cardiac conduction	97	5	0.021060659889393	0.614475723831702
BP	peptide transport	249	9	0.0211041458140875	0.614958098204623
BP	gliogenesis	291	10	0.0212502741706693	0.618426346272947
BP	spermatogenesis	559	16	0.0212871225503807	0.618709538992976
BP	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	65	4	0.0213458929540491	0.619628363409139
BP	interleukin-6 production	170	7	0.0214158990121922	0.620082680028145
BP	regulation of interleukin-6 production	170	7	0.0214158990121922	0.620082680028145
BP	neuron development	1096	27	0.0214537516692666	0.62039137906969
BP	leukocyte cell-cell adhesion	378	12	0.0215045269924446	0.621072516277996
BP	phosphatidylinositol biosynthetic process	133	6	0.0216816510334034	0.623819104638251
BP	sulfur compound metabolic process	335	11	0.0217807832702135	0.62588205427354
BP	chemokine production	98	5	0.0219073934162248	0.627150675262967
BP	positive regulation of myeloid cell differentiation	98	5	0.0219073934162248	0.627150675262967
BP	Schwann cell differentiation	37	3	0.0219748883722489	0.628294552758436
BP	cellular macromolecule localization	1667	38	0.02204185291573	0.629420420682472
BP	cell-cell signaling	1616	37	0.0223317904483981	0.636107529176844
BP	water homeostasis	66	4	0.0224406873374497	0.636430929303758
BP	negative regulation of transcription, DNA-templated	1253	30	0.0224035997126643	0.636430929303758
BP	positive regulation of epithelial cell proliferation	211	8	0.022454720287935	0.636430929303758
BP	chloride transmembrane transport	66	4	0.0224406873374497	0.636430929303758
BP	macromolecule modification	3807	77	0.0225516184554526	0.638384276277427
BP	positive regulation of lymphocyte activation	294	10	0.022616490180635	0.63942731098063
BP	cell morphogenesis	1001	25	0.0227335301761972	0.641147372682466
BP	cell part morphogenesis	658	18	0.0227194381902129	0.641147372682466
BP	homeostatic process	1777	40	0.0228303213643436	0.641531440163271
BP	negative regulation of nucleic acid-templated transcription	1255	30	0.022831501113805	0.641531440163271
BP	chemotaxis	611	17	0.0228730268206338	0.641907724402928
BP	regulation of cell adhesion	756	20	0.02321596042489	0.649986852968858
BP	endodermal cell fate commitment	15	2	0.0240301445249198	0.653482452301036
BP	pattern recognition receptor signaling pathway	174	7	0.0239475372681767	0.653482452301036
BP	T cell tolerance induction	15	2	0.0240301445249198	0.653482452301036
BP	cellular protein modification process	3593	73	0.0240033320248781	0.653482452301036
BP	response to oxidative stress	428	13	0.0236072769401201	0.653482452301036
BP	negative regulation of response to external stimulus	429	13	0.0240014948559022	0.653482452301036
BP	negative regulation of interleukin-8 production	38	3	0.023578042067882	0.653482452301036
BP	positive regulation of heterotypic cell-cell adhesion	15	2	0.0240301445249198	0.653482452301036
BP	primary alcohol catabolic process	15	2	0.0240301445249198	0.653482452301036
BP	protein modification process	3593	73	0.0240033320248781	0.653482452301036
BP	sodium-independent organic anion transport	15	2	0.0240301445249198	0.653482452301036
BP	apical protein localization	15	2	0.0240301445249198	0.653482452301036
BP	hepatocyte differentiation	15	2	0.0240301445249198	0.653482452301036
BP	regulation of heart rate by cardiac conduction	38	3	0.023578042067882	0.653482452301036
BP	membrane repolarization during ventricular cardiac muscle cell action potential	15	2	0.0240301445249198	0.653482452301036
BP	negative regulation of autophagosome assembly	15	2	0.0240301445249198	0.653482452301036
BP	regulation of hepatocyte proliferation	15	2	0.0240301445249198	0.653482452301036
BP	taxis	615	17	0.024158607894798	0.656193806818703
BP	regulation of lipid kinase activity	68	4	0.0247314110119901	0.668568570674842
BP	regulation of immune response	810	21	0.0246960118670025	0.668568570674842
BP	regulation of cartilage development	68	4	0.0247314110119901	0.668568570674842
BP	regulation of cytoskeleton organization	523	15	0.024853003069036	0.671060494701924
BP	skeletal system development	524	15	0.0252214434228802	0.678840265355564
BP	gastrin-induced gastric acid secretion	2	1	0.032222300463713	0.678840265355564
BP	mesodermal cell fate commitment	17	2	0.0304697628520506	0.678840265355564
BP	positive regulation of activation of membrane attack complex	2	1	0.032222300463713	0.678840265355564
BP	negative regulation of activation of membrane attack complex	2	1	0.032222300463713	0.678840265355564
BP	regulation of heart rate	104	5	0.0274519800544488	0.678840265355564
BP	negative regulation of L-glutamate import across plasma membrane	2	1	0.032222300463713	0.678840265355564
BP	activation of immune response	310	10	0.0309945900976952	0.678840265355564
BP	basophil activation involved in immune response	2	1	0.032222300463713	0.678840265355564
BP	T-helper cell lineage commitment	17	2	0.0304697628520506	0.678840265355564
BP	chronic inflammatory response	17	2	0.0304697628520506	0.678840265355564
BP	positive regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	2	1	0.032222300463713	0.678840265355564
BP	positive regulation of antigen processing and presentation of peptide antigen	2	1	0.032222300463713	0.678840265355564
BP	positive regulation of antigen processing and presentation of peptide antigen via MHC class II	2	1	0.032222300463713	0.678840265355564
BP	regulation of immune effector process	349	11	0.0282621506069625	0.678840265355564
BP	peptide secretion	225	8	0.0312718735578811	0.678840265355564
BP	regulation of adaptive immune response	185	7	0.031952264598914	0.678840265355564
BP	negative regulation of T cell mediated immune response to tumor cell	2	1	0.032222300463713	0.678840265355564
BP	positive regulation of chronic inflammatory response to antigenic stimulus	2	1	0.032222300463713	0.678840265355564
BP	cardiac atrium formation	2	1	0.032222300463713	0.678840265355564
BP	regulation of cilium movement	39	3	0.0252429401023255	0.678840265355564
BP	cell-matrix adhesion involved in ameboidal cell migration	2	1	0.032222300463713	0.678840265355564
BP	trehalose metabolic process	2	1	0.032222300463713	0.678840265355564
BP	xylulose metabolic process	2	1	0.032222300463713	0.678840265355564
BP	amino sugar metabolic process	41	3	0.0287575875082783	0.678840265355564
BP	mannosamine metabolic process	2	1	0.032222300463713	0.678840265355564
BP	N-acetylmannosamine metabolic process	2	1	0.032222300463713	0.678840265355564
BP	glucuronate catabolic process	2	1	0.032222300463713	0.678840265355564
BP	regulation of translational initiation by iron	2	1	0.032222300463713	0.678840265355564
BP	methionine metabolic process	16	2	0.0271723143587758	0.678840265355564
BP	cellular modified amino acid metabolic process	185	7	0.031952264598914	0.678840265355564
BP	nervous system development	2396	51	0.0276502101182654	0.678840265355564
BP	opsonization	16	2	0.0271723143587758	0.678840265355564
BP	glucan catabolic process	16	2	0.0271723143587758	0.678840265355564
BP	toxin metabolic process	17	2	0.0304697628520506	0.678840265355564
BP	toxin catabolic process	2	1	0.032222300463713	0.678840265355564
BP	regulation of cell-substrate adhesion	217	8	0.0259858006540185	0.678840265355564
BP	negative regulation of gliogenesis	41	3	0.0287575875082783	0.678840265355564
BP	positive regulation of Schwann cell differentiation	2	1	0.032222300463713	0.678840265355564
BP	canalicular bile acid transport	2	1	0.032222300463713	0.678840265355564
BP	lipopolysaccharide transport	2	1	0.032222300463713	0.678840265355564
BP	cell growth	483	14	0.0273468957322148	0.678840265355564
BP	N-terminal peptidyl-serine acetylation	2	1	0.032222300463713	0.678840265355564
BP	N-terminal peptidyl-glutamic acid acetylation	2	1	0.032222300463713	0.678840265355564
BP	metal incorporation into metallo-sulfur cluster	2	1	0.032222300463713	0.678840265355564
BP	iron incorporation into metallo-sulfur cluster	2	1	0.032222300463713	0.678840265355564
BP	transmission of nerve impulse	73	4	0.0310566454013927	0.678840265355564
BP	glucuronate catabolic process to xylulose 5-phosphate	2	1	0.032222300463713	0.678840265355564
BP	L-ascorbic acid biosynthetic process	2	1	0.032222300463713	0.678840265355564
BP	pons maturation	2	1	0.032222300463713	0.678840265355564
BP	superior olivary nucleus development	2	1	0.032222300463713	0.678840265355564
BP	superior olivary nucleus maturation	2	1	0.032222300463713	0.678840265355564
BP	fructosamine metabolic process	2	1	0.032222300463713	0.678840265355564
BP	peptidyl-serine acetylation	2	1	0.032222300463713	0.678840265355564
BP	regulation of sulfur amino acid metabolic process	2	1	0.032222300463713	0.678840265355564
BP	positive regulation of DNA-templated DNA replication initiation	2	1	0.032222300463713	0.678840265355564
BP	negative regulation of icosanoid secretion	2	1	0.032222300463713	0.678840265355564
BP	fractalkine production	2	1	0.032222300463713	0.678840265355564
BP	regulation of fractalkine production	2	1	0.032222300463713	0.678840265355564
BP	positive regulation of chemokine production	70	4	0.0271582757998849	0.678840265355564
BP	positive regulation of fractalkine production	2	1	0.032222300463713	0.678840265355564
BP	DNA methylation on adenine	2	1	0.032222300463713	0.678840265355564
BP	positive regulation of mononuclear cell proliferation	143	6	0.0295816873351326	0.678840265355564
BP	regulation of actin cytoskeleton organization	349	11	0.0282621506069625	0.678840265355564
BP	regulation of actin filament-based process	390	12	0.0265535122794438	0.678840265355564
BP	polysaccharide localization	2	1	0.032222300463713	0.678840265355564
BP	regulation of MyD88-independent toll-like receptor signaling pathway	2	1	0.032222300463713	0.678840265355564
BP	nucleosome organization	144	6	0.0304627720139294	0.678840265355564
BP	peptidyl-tyrosine dephosphorylation	103	5	0.026471795049603	0.678840265355564
BP	histone H3-R26 citrullination	2	1	0.032222300463713	0.678840265355564
BP	protein deglycation	2	1	0.032222300463713	0.678840265355564
BP	complement component C5a signaling pathway	2	1	0.032222300463713	0.678840265355564
BP	pronephric nephron tubule development	2	1	0.032222300463713	0.678840265355564
BP	regulation of locomotion	1086	26	0.0321331962226372	0.678840265355564
BP	macrophage activation	106	5	0.0294808566440214	0.678840265355564
BP	neutrophil activation	40	3	0.0269694998570765	0.678840265355564
BP	homoiothermy	2	1	0.032222300463713	0.678840265355564
BP	regulation of endodermal cell fate specification	2	1	0.032222300463713	0.678840265355564
BP	biofilm formation	2	1	0.032222300463713	0.678840265355564
BP	mycotoxin catabolic process	2	1	0.032222300463713	0.678840265355564
BP	single-species biofilm formation	2	1	0.032222300463713	0.678840265355564
BP	cellular polysaccharide catabolic process	17	2	0.0304697628520506	0.678840265355564
BP	cellular protein metabolic process	4752	93	0.0269446159925601	0.678840265355564
BP	single-species biofilm formation in or on host organism	2	1	0.032222300463713	0.678840265355564
BP	positive regulation of lymphocyte differentiation	106	5	0.0294808566440214	0.678840265355564
BP	aflatoxin catabolic process	2	1	0.032222300463713	0.678840265355564
BP	disaccharide catabolic process	2	1	0.032222300463713	0.678840265355564
BP	regulation of receptor signaling pathway via JAK-STAT	105	5	0.0284549544722587	0.678840265355564
BP	habituation	2	1	0.032222300463713	0.678840265355564
BP	Golgi vesicle prefusion complex stabilization	2	1	0.032222300463713	0.678840265355564
BP	male gamete generation	578	16	0.0278500120972198	0.678840265355564
BP	epithelial cell proliferation	443	13	0.0300454364161213	0.678840265355564
BP	positive regulation of T cell activation	220	8	0.027889012348866	0.678840265355564
BP	xylulose 5-phosphate metabolic process	2	1	0.032222300463713	0.678840265355564
BP	negative regulation of ligase activity	2	1	0.032222300463713	0.678840265355564
BP	regulation of mitochondrial membrane potential	71	4	0.0284231830923413	0.678840265355564
BP	phytoalexin metabolic process	2	1	0.032222300463713	0.678840265355564
BP	digestive system development	141	6	0.0278701173452567	0.678840265355564
BP	positive regulation of respiratory burst involved in inflammatory response	2	1	0.032222300463713	0.678840265355564
BP	positive regulation of vitamin D biosynthetic process	2	1	0.032222300463713	0.678840265355564
BP	spongiotrophoblast layer development	2	1	0.032222300463713	0.678840265355564
BP	random inactivation of X chromosome	2	1	0.032222300463713	0.678840265355564
BP	cell migration involved in heart formation	2	1	0.032222300463713	0.678840265355564
BP	regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance	2	1	0.032222300463713	0.678840265355564
BP	Langerhans cell differentiation	2	1	0.032222300463713	0.678840265355564
BP	zinc ion import into organelle	2	1	0.032222300463713	0.678840265355564
BP	radial spoke assembly	2	1	0.032222300463713	0.678840265355564
BP	regulation of pattern recognition receptor signaling pathway	104	5	0.0274519800544488	0.678840265355564
BP	synaptonemal complex disassembly	2	1	0.032222300463713	0.678840265355564
BP	regulation of hepatocyte differentiation	2	1	0.032222300463713	0.678840265355564
BP	neutrophil aggregation	2	1	0.032222300463713	0.678840265355564
BP	bicellular tight junction assembly	69	4	0.0259277371667217	0.678840265355564
BP	response to interleukin-11	2	1	0.032222300463713	0.678840265355564
BP	cellular response to tumor necrosis factor	226	8	0.0319806991871755	0.678840265355564
BP	cellular response to organonitrogen compound	635	17	0.0314220168487402	0.678840265355564
